Start Date : ,05/23/2016
End Date  : ,08/15/2016
""
Username,Category,Activity Count,Percentage

sumantrom,Wiki,15,6.41%
sumantrom,Fedbadges,14,5.98%
sumantrom,Bodhi,143,61.11%
sumantrom,Mailman,60,25.64%
sumantrom,Irc,2,0.85%
""
,Total : ,234
""
