Start Date : ,05/23/2016
End Date  : ,08/15/2016
""
Username,Category,Activity Count,Percentage

skamath,Wiki,39,1.52%
skamath,Fmn,17,0.66%
skamath,Mailman,10,0.39%
skamath,Trac,52,2.02%
skamath,Fedbadges,40,1.56%
skamath,Fedoratagger,2194,85.37%
skamath,Anitya,8,0.31%
skamath,Planet,10,0.39%
skamath,Bodhi,6,0.23%
skamath,Fas,5,0.19%
skamath,Pagure,98,3.81%
skamath,Askbot,7,0.27%
skamath,Irc,57,2.22%
skamath,Kerneltest,27,1.05%
""
,Total : ,2570
""
