Start Date : ,05/23/2016
End Date  : ,08/15/2016
""
Username,Category,Activity Count,Percentage

dhanvi,Wiki,13,0.61%
dhanvi,Planet,7,0.33%
dhanvi,Meetbot,770,35.93%
dhanvi,Mailman,7,0.33%
dhanvi,Trac,12,0.56%
dhanvi,Fedbadges,44,2.05%
dhanvi,Fas,3,0.14%
dhanvi,Copr,1230,57.4%
dhanvi,Bugzilla,32,1.49%
dhanvi,Pagure,11,0.51%
dhanvi,Irc,14,0.65%
""
,Total : ,2143
""
