Start Date : ,05/23/2016
End Date  : ,08/15/2016
""
Username,Category,Activity Count,Percentage

vivekanand1101,Wiki,1,0.35%
vivekanand1101,Mailman,1,0.35%
vivekanand1101,Fedbadges,12,4.24%
vivekanand1101,Fas,3,1.06%
vivekanand1101,Planet,2,0.71%
vivekanand1101,Pagure,240,84.81%
vivekanand1101,Irc,24,8.48%
""
,Total : ,283
""
