Start Date : ,05/23/2016
End Date  : ,08/15/2016
""
Username,Category,Activity Count,Percentage

a2batic,Wiki,12,11.54%
a2batic,Fedbadges,29,27.88%
a2batic,Fas,19,18.27%
a2batic,Fmn,6,5.77%
a2batic,Bugzilla,14,13.46%
a2batic,Bodhi,24,23.08%
""
,Total : ,104
""
