Start Date : ,05/23/2016
End Date  : ,08/15/2016
""
Username,Category,Activity Count,Percentage

farhaan,Mailman,1,0.27%
farhaan,Fedbadges,8,2.2%
farhaan,Fas,2,0.55%
farhaan,Bodhi,6,1.65%
farhaan,Pagure,329,90.38%
farhaan,Irc,18,4.95%
""
,Total : ,364
""
