Start Date : ,05/23/2016
End Date  : ,08/15/2016
""
Username,Category,Activity Count,Percentage

devyani7,Wiki,1,1.18%
devyani7,Planet,1,1.18%
devyani7,Mailman,4,4.71%
devyani7,Fedbadges,12,14.12%
devyani7,Fas,7,8.24%
devyani7,Askbot,3,3.53%
devyani7,Fedoratagger,23,27.06%
devyani7,Pagure,16,18.82%
devyani7,Irc,18,21.18%
""
,Total : ,85
""
